FID,id,device_name,road_nl,road_fr,road_en,descr_nl,descr_fr,descr_en,lane_schema,basic_schema,detailed_schema,hour_cnt,day_cnt,year_cnt,cnt_time,geom
rt_counting.fid--3f24c0bf_171c64c0452_476c,1,CEK049,Generaal Jacqueslaan (VUB) - 1050 Elsene,Boulevard Général Jacques (VUB) - 1050 Ixelles,Boulevard Général Jacques (VUB) - 1050 Ixelles,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CEK049_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK049_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK049_detailedSchema.png,27,617,146152,2020-04-29T16:17:00,POINT (151771.4189974843 168228.11577490158)
rt_counting.fid--3f24c0bf_171c64c0452_476d,2,CB1143,Wetstraat 145 - 1000 Brussel,Rue de la Loi 145 - 1000 Bruxelles,Rue de la Loi 145 - 1000 Bruxelles,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CB1143_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1143_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1143_detailedSchema.png,22,208,74385,2020-04-29T16:17:00,POINT (150708.66166821323 170329.18430126272)
rt_counting.fid--3f24c0bf_171c64c0452_476e,3,CB2105,Poincarélaan 75 - 1070 Anderlecht,Boulevard Poincaré 75 - 1070 Anderlecht	,Boulevard Poincaré 75 - 1070 Anderlecht	,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CB2105_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB2105_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB2105_detailedSchema.png,18,386,80673,2020-04-29T16:17:00,POINT (147975.54261886503 170008.01742327306)
rt_counting.fid--3f24c0bf_171c64c0452_476f,4,CB02411,Vilvoordsesteenweg - 1020 Brussel,Chaussée de Vilvorde - 1020 Bruxelles,Chaussée de Vilvorde - 1020 Bruxelles,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CB02411_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB02411_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB02411_detailedSchema.png,51,810,179699,2020-04-29T16:17:00,POINT (150366.52086226057 174609.70892575104)
rt_counting.fid--3f24c0bf_171c64c0452_4770,5,CEK18,Tervurenlaan 28 - 1040 Etterbeek,Avenue de Tervueren 28 - 1040 Etterbeek,Avenue de Tervueren 28 - 1040 Etterbeek,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CEK18_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK18_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK18_detailedSchema.png,21,412,103920,2020-04-29T16:17:00,POINT (152219.25173210123 169865.74793963507)
rt_counting.fid--3f24c0bf_171c64c0452_4771,6,CJM90,Koolmijnkaai 8 - 1080 Sint-Jans-Molenbeek,Quai des charbonnages 8 - 1080 Molenbeek-Saint-Jean,Quai des charbonnages 8 - 1080 Molenbeek-Saint-Jean,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CJM90_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CJM90_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CJM90_detailedSchema.png,45,1168,258165,2020-04-29T16:17:00,POINT (148062.70628520235 171470.80123404227)
rt_counting.fid--3f24c0bf_171c64c0452_4772,7,COM205,Vorstlaan 213 - 1170 Watermael-Boitsfort,Boulevard du Souverain 213 - 1170 Watermaal-Bosvoorde,Boulevard du Souverain 213 - 1170 Watermaal-Bosvoorde,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/COM205_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/COM205_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/COM205_detailedSchema.png,44,642,108769,2020-04-29T16:17:00,POINT (154324.40118714407 167763.53100200184)
rt_counting.fid--3f24c0bf_171c64c0452_4773,8,CB1142,Wetstraat 130 - 1000 Brussel,Rue de la Loi 130 - 1000 Bruxelles,Rue de la Loi 130 - 1000 Bruxelles,"De aantallen zijn gemeten op het fietspad van de Wetstraat richting centrum. Fietsbewegingen in beide richtingen zijn samengeteld. De aantallen worden telkens gereset aan het begin van een uur, een dag en een jaar.","Les nombres sont comptés sur la piste cyclable de la Rue de la Loi en direction du centre. Les mouvements des cyclistes dans les deux sens sont comptés ensemble. Les nombres sont chaque fois remis à zéro au début de l’heure, de la journée et de l’année.",n/a,https://data-mobility.brussels/media/bike/count/bike/count/CB1142_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1142_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1142_detailedSchema.png,25,648,155519,2020-04-29T16:17:00,POINT (150703.30572719846 170351.4316575667)
rt_counting.fid--3f24c0bf_171c64c0452_4774,9,CSG301,Fonsnylaan 48B - 1060 Sint-Gillis,Avenue Fonsny 48B - 1060 Saint-Gilles,Avenue Fonsny 48B - 1060 Saint-Gilles,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CSG301_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CSG301_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CSG301_detailedSchema.png,3,130,37785,2020-04-29T16:17:00,POINT (147705.84115599355 169339.57104828767)
rt_counting.fid--3f24c0bf_171c64c0452_4775,10,CLW239,Woluwelaan 34 - 1200 Sint-Lambrechts-Woluwe,Boulevard de la Woluwe 34 - 1200 Woluwe-Saint-Lambert,Boulevard Woluwe 34 - 1200 Woluwe-Saint-Lambert,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CLW239_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CLW239_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CLW239_detailedSchema.png,8,148,26138,2020-04-29T16:17:00,POINT (154654.45135924502 169733.65965940896)
rt_counting.fid--3f24c0bf_171c64c0452_4776,11,CB1599,Franklin Rooseveltlaan 48 - 1000 Brussel,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,Avenue Franklin Rooseveltlaan 48 - 1000 Brussels,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CB1599_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1599_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1599_detailedSchema.png,4,83,36399,2020-04-29T16:17:00,POINT (150740.17032080216 166884.97076605447)
rt_counting.fid--3f24c0bf_171c64c0452_4777,12,SJE181,Tentoonstellingslaan - 1090 Jette,Avenue de l'Exposition - 1090 Jette,Avenue de l'Exposition - 1090 Jette,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/SJE181_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/SJE181_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/SJE181_detailedSchema.png,0,0,17182,2020-04-29T16:17:00,POINT (146267.37316254355 174438.2325468203)
rt_counting.fid--3f24c0bf_171c64c0452_4778,13,CEE016,Generaal Jacqueslaan 210 - 1050 Elsene,Avenue Général Jacques 210 - 1050 Ixelles,Avenue Général Jacques 210 - 1050 Ixelles,n/a,n/a,n/a,https://data-mobility.brussels/media/bike/count/bike/count/CEE016_laneSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CEE016_basicSchema.png,https://data-mobility.brussels/media/bike/count/bike/count/CEE016_detailedSchema.png,0,0,65406,2020-04-29T16:17:00,POINT (151266.0320262558 167882.6753462972)
